disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths
1754,Oklahoma,Velika katastrofa,2008-05-09,Flood,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2008-04-09,2008-04-28,Love County,Love (County),8063,4719
1980,Missouri,Velika katastrofa,2011-05-09,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2011-04-19,2011-06-06,Texas County (Missouri),Texas (County),11099,2029
4338,Georgia,Velika katastrofa,2017-09-15,Hurricane,Hurricane Irma,0,0,1,1,2017-09-07,2017-09-20,Barrow County,Barrow (County),17110,9743
4337,Florida,Velika katastrofa,2017-09-10,Hurricane,Hurricane Irma,0,0,1,1,2017-09-04,2017-10-18,Holmes County (Florida),Holmes (County),17103,9844
4620,Arizona,Velika katastrofa,2021-09-13,Flood,Severe Storms And Flooding,0,0,1,1,2021-07-22,2021-07-24,Apache County,Apache (County),21096,8631
1327,Kansas,Velika katastrofa,2000-05-03,Severe Storm,Severe Storms And Tornadoes,0,1,1,1,2000-04-19,2000-04-20,Neosho County,Neosho (County),34,7464
1209,Georgia,Velika katastrofa,1998-03-11,Severe Storm,Severe Storms And Flooding,0,1,1,0,1998-02-14,1998-05-11,Worth County (Georgia),Worth (County),98028,8250
1033,Georgia,Velika katastrofa,1994-07-07,Tornado,"Tornadoes, Flooding Torrential Rain(Trop Storm Alberto)",0,1,1,0,1994-07-03,1994-07-25,Wilcox County (Georgia),Wilcox (County),94055,6706
3358,West Virginia,Upravljanje hitnim situacijama,2012-10-29,Hurricane,Hurricane Sandy,0,0,1,0,2012-10-29,2012-11-08,Pocahontas County (West Virginia),Pocahontas (County),12110,7795
4629,Connecticut,Velika katastrofa,2021-10-30,Hurricane,Remnants Of Hurricane Ida,0,0,1,1,2021-09-01,2021-09-02,Middlesex County (Colorado),"Middlesex (County)(in (P)MSA 3280,5020,5480)",21116,6201
3550,Mississippi,Upravljanje hitnim situacijama,2020-10-28,Hurricane,Hurricane Zeta,0,0,1,0,2020-10-27,2020-10-29,Lamar County (Mississippi),Lamar (County),20319,3121
4570,Louisiana,Velika katastrofa,2020-10-16,Hurricane,Hurricane Delta,0,0,1,1,2020-10-06,2020-10-10,Natchitoches Parish,Natchitoches (Parish),20311,3731
359,Virginia,Velika katastrofa,1972-10-10,Flood,Severe Storms & Flooding,0,1,1,0,1972-10-10,1972-10-10,Greene County (Virginia),Greene (County),72058,2500
1698,Vermont,Velika katastrofa,2007-05-04,Severe Storm,Severe Storms And Flooding,0,0,1,1,2007-04-15,2007-04-21,Essex County (Vermont),Essex (County),7816,2510
1847,Missouri,Velika katastrofa,2009-06-19,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,0,1,1,2009-05-08,2009-05-16,Newton County (Missouri),Newton (County),9071,8664
4644,Virginia,Velika katastrofa,2022-03-11,Severe Storm,Severe Winter Storm And Snowstorm,0,0,1,1,2022-01-02,2022-01-03,Madison County (Virginia),Madison (County),22013,2699
344,West Virginia,Velika katastrofa,1972-07-03,Flood,Tropical Storm Agnes,0,1,1,0,1972-07-03,1972-07-03,Brooke County,Brooke (County),72040,757
1624,Texas,Velika katastrofa,2006-01-11,Fire,Extreme Wildfire Threat,0,0,1,1,2005-11-27,2006-05-14,Nacogdoches County,Nacogdoches (County),6021,7711
1961,Missouri,Velika katastrofa,2011-03-23,Severe Storm,Severe Winter Storm And Snowstorm,0,0,1,1,2011-01-31,2011-02-05,Macon County (Missouri),Macon (County),11026,6567
3374,Missouri,Upravljanje hitnim situacijama,2016-01-02,Flood,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,0,2015-12-22,2016-01-09,Ste. Genevieve County,Ste. Genevieve (County),16001,674
3310,Minnesota,Upravljanje hitnim situacijama,2010-03-19,Flood,Flooding,0,0,1,0,2010-03-01,2010-04-26,Lyon County (Minnesota),Lyon (County),10030,7355
1209,Georgia,Velika katastrofa,1998-03-11,Severe Storm,Severe Storms And Flooding,0,1,1,0,1998-02-14,1998-05-11,Jeff Davis County (Georgia),Jeff Davis (County),98028,383
415,Idaho,Velika katastrofa,1974-01-25,Flood,"Severe Storms, Snowmelt & Flooding",0,1,1,0,1974-01-25,1974-01-25,Bonner County,Bonner (County),74011,7252
5009,Nebraska,Upravljanje požarom,2012-08-30,Fire,Region 23 Fire Complex,0,0,1,0,2012-08-30,2012-09-10,Sheridan County (Nebraska),Sheridan (County),12081,2543
3023,California,Upravljanje hitnim situacijama,1977-01-20,Drought,Drought,0,0,1,0,1977-01-20,1977-01-20,Tulare County,Tulare (County),77024,2375
3244,Idaho,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Power County,Power (County),5125,498
3556,Louisiana,Upravljanje hitnim situacijama,2021-02-18,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2021-02-11,2021-02-19,Richland Parish,Richland (Parish),21012,4799
448,Louisiana,Velika katastrofa,1974-09-23,Hurricane,Hurricane Carmen,0,1,1,0,1974-09-23,1974-09-23,Vermilion Parish,Vermilion (Parish),75025,4954
378,Kansas,Velika katastrofa,1973-05-02,Flood,Severe Storms & Flooding,0,0,1,0,1973-05-02,1973-05-02,Jefferson County (Kansas),Jefferson (County),73039,761
4453,Oklahoma,Velika katastrofa,2019-07-12,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,1,2019-04-30,2019-05-01,Ottawa County (Oklahoma),Ottawa (County),19047,2745
1407,Kentucky,Velika katastrofa,2002-04-04,Severe Storm,Severe Storms And Flooding,0,0,1,0,2002-03-17,2002-03-21,Wayne County (Kentucky),Wayne (County),2025,7382
3095,Tennessee,Upravljanje hitnim situacijama,1993-03-14,Snowstorm,"Severe Snowfall, Winter Storm",0,0,1,0,1993-03-13,1993-03-17,Sullivan County (Tennessee),Sullivan (County),93008,7118
422,Alabama,Velika katastrofa,1974-04-04,Tornado,Tornadoes,0,1,1,0,1974-04-04,1974-04-04,Franklin County (Alabama),Franklin (County),74028,5373
3228,Oregon,Upravljanje hitnim situacijama,2005-09-07,Coastal Storm,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Umatilla County,Umatilla (County),5104,8128
3574,Louisiana,Upravljanje hitnim situacijama,2021-09-13,Coastal Storm,Tropical Storm Nicholas,0,0,1,0,2021-09-12,2021-09-18,Jefferson Davis Parish,Jefferson Davis (Parish),21101,9299
1870,Alabama,Velika katastrofa,2009-12-31,Severe Storm,Severe Storms And Flooding,0,0,1,1,2009-12-12,2009-12-18,Russell County (Alabama),Russell (County),9129,9831
386,Iowa,Velika katastrofa,1973-05-23,Flood,Severe Storms & Flooding,0,1,1,0,1973-05-23,1973-05-23,Wayne County (Iowa),Wayne (County),73042,9832
3112,Virginia,Upravljanje hitnim situacijama,1993-03-25,Snowstorm,Severe Winter Storm,0,0,1,0,1993-03-13,1993-03-14,Norfolk city,Norfolk,93025,2574
4468,Florida,Velika katastrofa,2019-10-21,Hurricane,Hurricane Dorian,0,0,1,1,2019-08-28,2019-09-09,St. Johns County,St. Johns (County),19085,2874
4420,Nebraska,Velika katastrofa,2019-03-21,Flood,"Severe Winter Storm, Straight-Line Winds, And Flooding",0,0,1,1,2019-03-09,2019-07-14,Morrill County,Morrill (County),19009,7920
378,Kansas,Velika katastrofa,1973-05-02,Flood,Severe Storms & Flooding,0,0,1,0,1973-05-02,1973-05-02,Kingman County,Kingman (County),73039,6567
3319,Alabama,Upravljanje hitnim situacijama,2011-04-27,Severe Storm,"Severe Storms, Tornadoes, And Straight-Line Winds",0,0,1,0,2011-04-27,2011-05-31,Hale County (Alabama),Hale (County),11079,4949
1102,Idaho,Velika katastrofa,1996-02-11,Severe Storm,Severe Storms And Flooding,0,1,1,0,1996-02-06,1996-02-23,Bonner County,Bonner (County),96037,2977
4298,South Dakota,Velika katastrofa,2017-02-01,Severe Storm,Severe Winter Storm,0,0,1,1,2016-12-24,2016-12-26,Codington County,Codington (County),17005,1882
